temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
287.52,286.92,287.52,287.52,1023,73,43,1.84,324,Clouds,0
303.52,304.42,303.52,303.52,1017,48,15,5.01,348,Clouds,0
294.52,294.41,294.52,294.52,1008,65,97,2.28,104,Clouds,0
289.52,288.49,289.52,289.52,1005,49,56,6.79,46,Clouds,1
299.52,299.52,299.52,299.52,1014,40,0,2.86,9,Clear,0
286.52,286.21,286.52,286.52,1005,88,99,5.25,291,Clouds,0
293.52,293.21,293.52,293.52,998,61,94,1.74,290,Clouds,0
288.52,288.1,288.52,288.52,1031,76,35,2.5,139,Clouds,0
288.52,288.1,288.52,288.52,1004,76,77,2.33,308,Clouds,0
287.52,287.26,287.52,287.52,1003,86,62,4.93,316,Clouds,0
293.52,293.68,293.52,293.52,1018,79,0,2.12,343,Clear,0
297.52,297.92,297.52,297.52,1000,73,15,5.72,265,Clouds,0
288.52,287.91,288.52,288.52,1006,69,76,4.12,316,Clouds,0
286.52,285.92,286.52,286.52,1027,77,6,4.27,55,Clear,0
291.52,291.03,291.52,291.52,1013,62,100,4.61,23,Clouds,0
285.52,284.67,285.52,285.52,1030,71,0,2.61,36,Clear,0
283.52,282.1,283.52,283.52,1027,57,86,2.45,235,Clouds,0
294.52,293.81,294.52,294.52,1008,42,88,4.63,352,Rain,0
291.52,291.55,291.52,291.52,1008,82,27,2.63,346,Clouds,0
287.52,287.21,287.52,287.52,1005,84,72,2.92,293,Clouds,0
289.52,289.35,289.52,289.52,1012,82,91,4.97,8,Clouds,0
286.52,285.37,286.52,286.52,1017,56,4,5.2,13,Clear,0
295.52,295.54,295.52,295.52,1002,66,79,1.6,11,Clouds,0
288.52,287.65,288.52,288.52,1029,59,1,2.65,49,Clear,0
286.52,286.05,286.52,286.52,1007,82,53,2.85,18,Clouds,0
285.52,284.51,285.52,285.52,1005,65,100,4.49,338,Clouds,0
294.52,294.2,294.52,294.52,1026,57,100,1.12,16,Clouds,0
303.52,303.03,303.52,303.52,1018,38,8,3.85,343,Clear,0
292.52,292.81,292.52,292.52,1007,88,100,2.7,125,Rain,1
287.52,286.84,287.52,287.52,1014,70,100,2.2,226,Clouds,0
292.52,292.86,292.52,292.52,1006,90,53,1.51,119,Clouds,0
289.52,289.56,289.52,289.52,1002,90,100,4.03,332,Clouds,0
292.52,292.81,292.52,292.52,1015,88,100,3.62,300,Clouds,0
297.52,297.21,297.52,297.52,1019,46,8,6.1,349,Clear,0
296.52,295.96,296.52,296.52,1014,40,33,2.62,23,Clouds,0
